Task code,Task name,Family,Sequence,Output ID,Deliverable,Output file,Kind,Specification,Status
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,1,pdp-r002,Skincare product-page module - Clarity Vitamin C Serum,deliverables/pdp-r002.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,2,pdp-r003,Skincare product-page module - Even Niacinamide Serum,deliverables/pdp-r003.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,3,pdp-r004,Skincare product-page module - Reservoir Hyaluronic Serum (30ml frosted),deliverables/pdp-r004.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,4,pdp-r005,Skincare product-page module - Renew Retinol Night Oil,deliverables/pdp-r005.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,5,pdp-r006,Skincare product-page module - Barrier Peptide Moisturizer,deliverables/pdp-r006.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,6,pdp-r007,Skincare product-page module - Gentle Amino Cleanser,deliverables/pdp-r007.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,7,pdp-r008,Skincare product-page module - Refine Exfoliating Toner,deliverables/pdp-r008.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,8,pdp-r009,Skincare product-page module - Barrier Repair Cream,deliverables/pdp-r009.png,pdp,format: png; width: 1440; height: 1800,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,9,range-launch,Skincare range launch key visual,deliverables/range-launch.png,landscape,format: png; width: 1920; height: 1080,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,10,retailer-carousel-p01,Retailer launch carousel - Page 1,deliverables/retailer-carousel-p01.png,carousel,format: png; width: 1080; height: 1350,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,11,retailer-carousel-p02,Retailer launch carousel - Page 2,deliverables/retailer-carousel-p02.png,carousel,format: png; width: 1080; height: 1350,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,12,retailer-carousel-p03,Retailer launch carousel - Page 3,deliverables/retailer-carousel-p03.png,carousel,format: png; width: 1080; height: 1350,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,13,retailer-carousel-p04,Retailer launch carousel - Page 4,deliverables/retailer-carousel-p04.png,carousel,format: png; width: 1080; height: 1350,not_produced
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,14,retailer-carousel-p05,Retailer launch carousel - Page 5,deliverables/retailer-carousel-p05.png,carousel,format: png; width: 1080; height: 1350,not_produced
SB3-002-PHO,Corner and Cure - Spring dish launch photography,Photo & Image,1,dish-card-r002,Spring dish counter card - Burnt Butter Gnocchi,deliverables/dish-card-r002.pdf,card,format: pdf; width_mm: 105.156; height_mm: 148.167; pages: 1,not_produced
SB3-002-PHO,Corner and Cure - Spring dish launch photography,Photo & Image,2,dish-card-r003,Spring dish counter card - Roast Squash & Farro Bowl,deliverables/dish-card-r003.pdf,card,format: pdf; width_mm: 105.156; height_mm: 148.167; pages: 1,not_produced
SB3-002-PHO,Corner and Cure - Spring dish launch photography,Photo & Image,3,dish-card-r004,Spring dish counter card - Braised Short Rib Sandwich,deliverables/dish-card-r004.pdf,card,format: pdf; width_mm: 105.156; height_mm: 148.167; pages: 1,not_produced
